Feature Type,Method,N Clusters,N Samples,N Noise,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz
Hybrid VAE,KMEANS,10,1910,0,0.011726933531463146,3.5440029789973737,38.84883499145508
Hybrid VAE,AGGLOMERATIVE,10,1910,0,-0.04134473577141762,4.568186645452689,26.10696792602539
Hybrid VAE,DBSCAN,8,776,1134,-0.010674899443984032,1.8195913789062101,3.49163818359375
Audio VAE,KMEANS,10,1910,0,0.09150099754333496,1.9148797971596352,134.18016052246094
Audio VAE,AGGLOMERATIVE,10,1910,0,0.04336632788181305,2.3239397987679093,95.00613403320312
Audio VAE,DBSCAN,1,1361,549,,,
PCA Hybrid,KMEANS,10,1910,0,0.08715873211622238,2.5329290310943033,97.16574096679688
PCA Hybrid,AGGLOMERATIVE,10,1910,0,0.06095720827579498,2.577718745895468,79.17456817626953
PCA Hybrid,DBSCAN,9,1048,862,0.0015011626528576016,1.5934937393510862,34.940696716308594
PCA Audio,KMEANS,10,1910,0,0.07988732308149338,2.2843722745995962,170.3407745361328
PCA Audio,AGGLOMERATIVE,10,1910,0,0.0397782176733017,2.5359162295426825,143.3723907470703
PCA Audio,DBSCAN,3,1312,598,0.20180170238018036,0.898695055423188,16.022140502929688
